AGH1001	AGH1001_3_0.html	3B#2	5	Self Check: True or False
AGH1002	AGH1002_3_0.html	3A#1	1	Plant growth and light experiment
AGH1004	AGH1004_3_0.html	3B#2	1	Compare the data for rainfall and temperature in 2 regions
AGH1004	AGH1004_3_0.html	3C#3	1	Climate challenges in the Waikato
AGH1004	AGH1004_3_0.html	3D#4	5	A year in a kiwifruit orchard
AGH1004	AGH1004_5_0.html	5B#2	9	Knowledge Check Sorting Activity
AGH1004	AGH1004_6_0.html	7A#1	1	Use the graph to order the agricultural products as increase
AGH1005	AGH1005_1_0.html	1A#1	5	Māori and Western views on plants and their purpose
AGH1005	AGH1005_2_0.html	2A#1	5	Root and Stem Review
AGH1005	AGH1005_3_0.html	3A#1	5	Select whether the following statements are important factor
AGH1005	AGH1005_6_0.html	6A#1	6	Knowledge self-check
AGH1005	AGH1005_8_0.html	8B#2	4	Label each process by dragging the corresponding process to 
AGH1006	AGH1006_3_0.html	4A#1	2	Problem solving scenario
AGH1006	AGH1006_7_0.html	8A#1	1	Fertiliser and growing scenario
AGH1007	AGH1007_9_0.html	9D#3	1	Complete the checkpoint once you have finished all activitie
AGH1008	AGH1008_2_0.html	2A#1	1	Digestability and components of feed
AGH1008	AGH1008_8_0.html	8B#2	1	NAIT tags and quarantine
AGH1009	AGH1009_1_0.html	1A#1	1	Why are matauranga Māori values important?
AGH1009	AGH1009_1_0.html	1B#2	1	Brainstorm at least two differences in attitude towards land
AGH1009	AGH1009_4_0.html	4A#1	15	Good or poor-quality water?
AGH1009	AGH1009_6_0.html	6D#2	2	Case study: Regenerative practices
AGH1009	AGH1009_9_0.html	9A#1	1	List 2 positive impacts the reduction of calendar spraying h
AGH1009	AGH1009_9_0.html	9B#2	2	Which of these statistics is still showing an increase in po
AGH1009	AGH1009_9_0.html	9C#3	1	Describe how planting of trees within steep hill country are
ANZH101	ANZH101_1_0.html	1C#3	3	Ngā Kupu Nui | Important Words
ANZH103	ANZH103_1_0.html	3A#1	2	The voyages of Te Tiriti o Waitangi
ANZH103	ANZH103_1_0.html	3B#2	1	The Treaty Documents
ANZH105	ANZH105_5_0.html	5A#1	4	Choose one story and answer these questions in your journal.
ANZH105	ANZH105_6_0.html	6A#1	3	Talk with your supervisor to answer these questions.
ANZH203	ANZH203_6_0.html	7B#2	1	Well done! You have completed this module. Now is a good tim
ANZH205	ANZH205_2_0.html	2A#1	6	Was Te Kemara for or against signing the treaty?
ANZH205	ANZH205_3_0.html	3A#1	11	Can you use the videos above to help you answer these questi
ANZH205	ANZH205_7_0.html	7A#1	2	Congratulations for completing this module!
ANZH303	ANZH303_6_0.html	6B#2	1	What to do now?
ANZH304	ANZH304_6_0.html	6C#3	1	Kai pai, you have completed this module. Upload your journal
ANZH401	ANZH401_5_0.html	5A#1	6	In the Wairau Affray both sides of the conflict held differe
ANZH401	ANZH401_8_0.html	8A#1	7	Watch the following extract from the documentary “Looking Ba
ANZH401	ANZH401_9_0.html	9A#1	2	Watch this video clip about why Pacific Islanders came to Ao
ANZH401	ANZH401_9_0.html	9B#2	10	Watch the short video about how to draw and interpret a line
ANZH401	ANZH401_11_0.html	11A#1	3	Watch the following video and answer the questions that foll
ANZH401	ANZH401_11_0.html	11B#2	4	Because of actions taken by the Polynesian Panthers the Dawn
ANZHFUN05	ANZHFUN05_0_0.html	1A#1	1	Use the following focus questions and information from the a
ARFUN03	ARFUN03_0_0.html	2B#3	1	Designer note: Please add a heading.
ARFUN03	ARFUN03_0_0.html	3B#6	1	Designer note: Please provide a heading.
ART1002	ART1002_1_0.html	1A#1	1	Click on the video.
ART1002	ART1002_1_0.html	1B#2	1	Add some collaged elements
ART1002	ART1002_1_0.html	1C#3	1	Make another layer of colour
ART1002	ART1002_5_0.html	2A#1	9	What is in a Visual Arts Diary?
ART1002	ART1002_5_0.html	2C#3	1	Reflections on your work and progress
ART1004	ART1004_0_0.html	4A#1	2	Create a finished Artwork
ART1004	ART1004_0_0.html	4C#3	2	Investigating exhibitions
ART1004	ART1004_0_0.html	4D#4	2	Match the pictures with the exhibition descriptions
ART1004	ART1004_0_0.html	4F#6	5	How to present your learning
ART1006	ART1006_1_0.html	1A#2	2	Investigate project ideas
ART1006	ART1006_1_0.html	1B#3	5	What project inspired you?
ART1006	ART1006_1_0.html	1C#4	1	Create a brainstorm/spider diagram
ART1006	ART1006_1_0.html	1D#5	2	Research your project process
ART1006	ART1006_3_0.html	3B#2	4	Create a time limit on your project
ART1006	ART1006_3_0.html	3C#3	3	Getting yourself ready
ART1006	ART1006_4_0.html	4A#1	2	Required: 1–2 A4 pages of notes and drawings | Time: 1 hour.
ART1006	ART1006_4_0.html	4B#2	1	Required: 1 completed self-assessment form | Time: 1–2 hours
BLL116	BLL116_1_0.html	1E#5	1	Watch the video and listen to the songs about each letter.
BLL120	BLL120_0_0.html	1F#6	1	Where is the /k/ sound?
BLL120	BLL120_0_0.html	2G#15	2	After watching video four, highlight to the ākonga C /k/ cur
BLL120	BLL120_0_0.html	5A#33	1	Some ākonga need more practice than others when learning the
BLL120	BLL120_0_0.html	6A#42	1	Some ākonga need more practice than others when learning the
BLL120	BLL120_0_0.html	7A#51	1	Some ākonga need more practice than others when learning the
BLL162	BLL162_1_1.html	2A#1	1	These words all have the chunk ‘op’ in them. Read these word
BLL164	BLL164_1_0.html	1B#2	8	Now, it’s your turn!
BLL216	BLL216_1_0.html	1D#4	6	Here are some more examples for each of these prefixes:
BLL234	BLL234_2_0.html	2A#1	1	The story we are going to read next is about a boy called Jo
BLL234	BLL234_2_0.html	2D#4	8	Some of these sentences below have the speech marks in the c
BLL235	BLL235_1_0.html	1B#2	7	Drag the suffixes onto the words in the table. When you have
BLL261	BLL261_1_0.html	1D#4	1	Play the memory game using words that begin with str, spr, s
CBI1004	CBI1004_1_0.html	1A#1	4	Decide whether these characteristics are determined by genet
CBI1004	CBI1004_4_0.html	4B#2	1	Where are chromosomes found?
CBI1004	CBI1004_5_0.html	5A#1	1	Label this diagram by dragging and dropping the blue boxes t
CBI1004	CBI1004_5_0.html	5B#2	2	Select the correct word to fill in the blanks and complete t
CBI1004	CBI1004_5_0.html	5C#3	13	Match the type of protein with an example.
CBI1004	CBI1004_6_0.html	6D#4	1	Complete the quiz to review your learning so far.
CBI1005	CBI1005_9_0.html	9A#1	25	How did kūmara get to New Zealand?
CBI1008	CBI1008_5_0.html	5A#1	1	Effects of combustion
CBI1009	CBI1009_4_0.html	4C#1	2	Chemical Conservation of Matter
CEDK102	CEDK102_0_0.html	4D#12	1	Take a selfie (or have someone take a photo of you). Use an 
CEDK401	CEDK401_0_0.html	1C#3	4	The food production process
CEDK401	CEDK401_0_0.html	3A#5	13	Thinking about abundance
CEDK401	CEDK401_0_0.html	3B#6	3	Reflecting on Fishing
CEDK401	CEDK401_0_0.html	8A#11	23	Summarise what you have learned to formulate a plan of actio
CEDK401	CEDK401_0_0.html	8B#12	3	Option 2: Reflection
CEDK401	CEDK401_0_0.html	8C#13	4	Create your own community initiative or get involved with a 
CEDK401	CEDK401_0_0.html	8D#14	1	Share your journal with your kaiako by uploading your final 
CEDK501	CEDK501_2_0.html	2B#2	13	Find Alex’s total weekly expenses. We can do this by adding 
CEDK501	CEDK501_3_1.html	3D#1	6	Select the ways that Jordan maintained his motivation whilst
CEDK501	CEDK501_5_0.html	3A#1	5	Select the ways that Litia tracks her progress from the list
CEDK501	CEDK501_5_0.html	3C#3	1	A blank diary template is available here. Make sure that you
CEDK501	CEDK501_5_1.html	5B#1	13	Making a contribution
CEDK501	CEDK501_5_1.html	5C#2	7	Now consider how you might contribute to your own team with 
CEDK501	CEDK501_6_0.html	4A#1	7	Designer note: Please provide a title for this interactive.
