PMT101	PMT101_1_0.html	Bilingual	3	“Nā te whakapapa ka noho whanaunga ngā mea katoa o te ao.”	“Because of whakapapa, everything in the world is related.”	row/col-md-8/col-12
PNR101	PNR101_1_0.html	Bilingual	2	Haere whakaparirau i a koe, haere whakamanu.	Go, discover your wings, then fly like a bird.	col-md-8/col-12/col-12
PNR102	PNR102_1_0.html	Bilingual	2	Haere whakaparirau i a koe, haere whakamanu.	Go, discover your wings, and fly like a bird.	col-md-8/col-12/col-12
PNR104	PNR104_1_0.html	Bilingual	2	Haere whakaparirau i a koe, haere whakamanu.	Go, discover your wings, and fly like a bird.	row/col-md-8/col-12
PNR107	PNR107_0_0.html	Bilingual	2	Haere whakaparirau i a koe, haere whakamanu.	Go and discover your wings, and soar like a bird.	row/col-md-8/col-12
TRR102	TRR102_1.0.html	Bilingual	3	Ko te reo Māori te kākahu o te whakaaro, te huarahi i te ao tūroa.	Te reo Māori helps us share our thoughts and find our way in the world	col-md-8/col-12/col-12
TRR103	TRR103_1.0.html	Bilingual	3	Ko te reo Māori te kākahu o te whakaaro, te huarahi i te ao tūroa.	Te reo Māori helps us share our thoughts and find our way in the world	col-md-8/col-12/col-12
TRR104	TRR104_1.0.html	Bilingual	3	Ko te reo Māori te kākahu o te whakaaro te huarahi i te ao tūroa.	Te reo Māori helps us share our thoughts and find our way in the world	row/col-md-8/col-12
TRR105	TRR105_1.0.html	Bilingual	3	Ko te reo Māori te kākahu o te whakaaro te huarahi i te ao tūroa	Te reo Māori helps us share our thoughts and find our way in the world	col-md-8/col-12/col-12
TRR106	TRR106_1.0.html	Bilingual	3	Ko te reo Māori te kākahu o te whakaaro, te huarahi i te ao tūroa.	Te reo Māori helps us share our thoughts and find our way in the world	col-md-8/col-12/col-12
TRR107	TRR107_0.0.html	Bilingual	2	Mō te manu, ko ngā huruhuru ngā mea e taea ai te rere. Mō tātou, ko te	For a bird, feathers are what make flying possible. For us, learning, 	col-md-8/col-12/col-12
TRR108	TRR108_0.0.html	Bilingual	2	Ko te manu e kai ana i te miro nōna te ngāhere. Ko te manu e kai ana i	The bird that eats the miro berry owns the forest. The bird that eats 	col-md-8/col-12/col-12
TRR109	TRR109_1.0.html	Bilingual	2	He taonga tuku iho tō tātou reo, i heke mai i ō tātou tīpuna.	Our language is a treasure handed down to us by our ancestors.	row/col-md-8/col-12
TRR110	TRR110_1_0_ea.html	Bilingual	2	He taonga te reo, he taonga nā ngā tūpuna, he taonga tuku iho.	Our language is a treasure handed down to us by our ancestors.	row/col-md-8/col-12
TRR111	TRR111_1.0.html	Bilingual	2	He taonga te reo, he taonga nā ngā tūpuna, he taonga tuku iho.	Our language is a treasure handed down to us by our ancestors.	col-md-8/col-12/col-12
TRR112	TRR112_1.0.html	Bilingual	2	He taonga te reo, he taonga tuku iho nā ngā tūpuna.	Our language is a treasure handed down to us by our ancestors.	col-md-8/col-12/col-12
TRR113	TRR113_1.0.html	Bilingual	2	He taonga te reo, he taonga nā ngā tūpuna, he taonga tuku iho.	Our language is a treasure handed down to us by our ancestors.	col-md-8/col-12/col-12
TRR114	TRR114_1.0.html	Bilingual	2	He iti te mokoroa nāna i kakati te kahikatea.	Even the small grub can fell the great kahikatea tree.	col-md-8/col-12/col-12
TRR115	TRR115_1.0.html	Bilingual	2	He kai kei aku ringa	There is food at the tips of my hands	col-md-8/col-12/col-12
TRR116	TRR116_1_0.html	Bilingual	2	He taonga te reo, he taonga nā ngā tūpuna, he taonga tuku iho.	Our language is a treasure handed down to us by our ancestors.	row/col-md-8/col-12
TRR203	TRR203_0.0.html	Bilingual	2	"Tuia te tamaiti ki ngā aka taumatua, kaua e tuia ki ngā aka taepa. Me	"Bind the child to the mature vines, do not bind them to the new shoot	row/col-md-8/col-12
TRR301	TRR301_0.0.html	Bilingual	2	Mā te huruhuru, ka rere te manu.	With feathers, the bird can fly.	row/col-md-8/col-12
TRR304	TRR304_0.0.html	Bilingual	2	Tuia te tamaiti ki ngā aka taumatua, kaua e tuia ki ngā aka taepa. Me 	Bind the child to the mature vines, do not bind them to the new shoots	row/col-md-8/col-12
JPFUN01	JPFUN01_0_0.html	Fundamentals	2	Kāore te kumara e kōrero ana mo tōna ake reka.	The kumara does not brag about its own sweetness.	row/col-md-8/col-12
SSFUN01	SSFUN01.html	Fundamentals	2	Ehara tāku toa it te toa takitahi, engari he toa takitini.	My success is not the work of an individual, but the work of many.	col-md-8/col-12
WJFUN210	WJFUN210_0_0.html	Fundamentals	2	"Ko au te awa, ko te awa ko au."	I am the river, and the river is me.	row/col-md-8/col-12
XFUN01	XFUN01.00.html	Fundamentals	2	He moana pukepuke e ekengia e te waka	A choppy sea can be navigated by a waka	col-md-8/col-12/col-12
CEDK401	CEDK401 Food Sustainability.html	Inquiry	2	Hei kai kei aku ringa	There is food at the end of my hands	col-md-8/col-12/col-12
CEDK501	CEDK501 Kia Mahitahi – Idea to Action.html	Inquiry	2	Ehara taku toa i te toa takitahi, engari he toa takitini.	My strength is not that of an individual but that of many.	col-md-8/col-12/col-12
CEDK501	CEDK501_0.0.html	Inquiry	2	Ehara taku toa i te toa takitahi, engari he toa takitini.	My strength is not that of an individual but that of many.	row/col-md-8/col-12
CEDK501	CEDK501_5.0.html	Inquiry	2	Ehara taku toa i te toa takitahi, engari he toa takitini.	My strength is not that of an individual, but that of the collective.	col-md-8/col-12/col-12
CEDO102	CEDO102_0.0.html	Inquiry	2	Ko te wai te ora ngā mea katoa.	Water is the life giver of all things.	row/col-md-8/col-12
CEDO202	CEDO202_0.0.html	Inquiry	2	Iti noa ana he pito mata	From the withered tree a flower blooms	row/col-md-8/col-12
CEDR101	CEDR101 Who's leading the game.html	Inquiry	2	Kia tū maia, kia tū pakari, engāri me pono ana te noho whakaiti i te a	Be brave, be strong, but always be humble in the world of sports.	row/col-md-8/col-12
CEDR203	CEDR203_0.0.html	Inquiry	2	Toitū te marae a Tāna-Mahuta, toitū te marae a Tangaroa, toitū te tang	If the land is well and the sea is well, the people will thrive.	row/col-md-8/col-12
CEDR203	CEDR203_0.0.html	Inquiry	2	Ahakoa he iti he pounamu.	Although it is small it is a treasure.	row/col-md-8/col-12
CEDR204	CEDR204 STOMP.html	Inquiry	2	Ko te reo o te taiao, ko te reo o te tangata.	The voice of the environment is the voice of the people.	col-md-8/col-12/col-12
CEDR401	CEDR401 Leadership and Information.html	Inquiry	2	He maurea kai whiria!	Ignore small matters and direct effort toward important projects.	row/col-md-8/col-12
CEDT102	CEDT102.html	Inquiry	7	Let each star in the sky shine its own light	In this module we are going to learn about diversity and what makes us	row/col-md-8/col-12
CEDT104	CEDT104 Waiata In Motion.html	Inquiry	2	Toi te kupu, toi te mana, toi te whenua	Hold fast to our culture, our mana, and our land	col-md-8/col-12/col-12
CEDT207	CEDT207 Me, my selfie and I.html	Inquiry	2	Ehara taku toa i te toa takitahi engari he toa takitini.	I come not with my own strengths but bring with me the gifts, talents 	row/col-md-8/col-12
CEDT207	CEDT207_0.0.html	Inquiry	2	Ehara taku toa i te toa takitahi engari he toa takitini.	I come not with my own strengths but bring with me the gifts, talents 	row/col-md-8/col-12
CEDT208	CEDT208 Patterns Of The Pacific.html	Inquiry	2	Ko toku Tokiga e mau ai toku hikohikomaga	My culture and language consolidate my learning environment.	col-md-8/col-12/col-12
CEDT301	CEDT301 My place and me.html	Inquiry	2	E kore au e ngaro; he kākano i ruia mai i rangiātea.	We know who we are and where we come from; therefore, we can move forw	row/col-md-8/col-12
CEDT301	CEDT301_0.0.html	Inquiry	2	E kore au e ngaro; he kākano i ruia mai i rangiātea.	We know who we are and where we come from; therefore, we can move forw	row/col-md-8/col-12
CEDT404	CEDT404.html	Inquiry	2	E koekoe te tūī, e ketekete te kākā, e kūkū te kererū.	There is unity in diversity.	col-md-8/col-12/col-12
CEDW101	CEDW101 Manaakitanga.html	Inquiry	2	He aroha whakatō, he aroha puta mai.	If kindness is sown, then kindness you shall receive.	row/col-md-8/col-12
CEDW201	CEDW201 The Language of Kindness and Caring.html	Inquiry	2	He aroha whakatō, he aroha puta mai.	If kindness is sown, then kindness you shall receive.	row/col-md-8/col-12
CHWHA	CHWHA_0_0.html	Inquiry	2	Ko tōu reo, ko tōku reo, te tuakiri tangata. Tihei uriuri, tihei nakon	Your voice and my voice are expressions of identity. May our descendan	row/col-md-8/col-12
EXPFUN06	EXPFUN06_0.html	Inquiry	2	Ko te mātauranga te kākahu o te rangatira.	Knowledge is the garment of the chief.	row/col-md-8/col-12
